order_id,seller_id,buyer_id,kodepos,subtotal,discount,total,created_at,paid_at,delivery_at,lokasi
19.0,5.0,3831.0,91235,1074000.0,0.0,1074000.0,2020-05-16,0,,"Aceh, Sumatra Utara, Sumatra Barat, Riau, Kepulauan Riau"
320.0,16.0,17885.0,24758,57000.0,0.0,57000.0,2019-12-07,0,,"Banten, Jawa Barat"
350.0,14.0,3382.0,16833,1170000.0,0.0,1170000.0,2019-08-08,0,,"Banten, Jawa Barat"
598.0,15.0,8601.0,23151,3870000.0,0.0,3870000.0,2020-04-03,0,,Kalimantan
706.0,33.0,582.0,60829,1005000.0,0.0,1005000.0,2020-02-14,0,,"Jakarta, sebagian Banten dan Jawa Barat"
972.0,32.0,5698.0,27984,1785000.0,0.0,1785000.0,2020-04-23,0,,"Jawa Tengah, Yogyakarta"
996.0,15.0,7162.0,91557,1258000.0,0.0,1258000.0,2019-11-02,0,,"Bengkulu, Jambi, Bangka Belitung, Sumatra Selatan, Lampung"
1014.0,17.0,3102.0,43455,270000.0,0.0,270000.0,2020-04-30,0,,"Banten, Jawa Barat"
1048.0,69.0,1995.0,2761,192000.0,0.0,192000.0,2019-10-17,0,,"Bali, Nusa Tenggara"
1138.0,29.0,13380.0,28810,1287000.0,0.0,1287000.0,2020-03-25,0,,"Bengkulu, Jambi, Bangka Belitung, Sumatra Selatan, Lampung"
1326.0,41.0,14914.0,52040,1008000.0,0.0,1008000.0,2019-08-22,0,,"Sulawesi, Maluku, Papua"
1537.0,2.0,3554.0,5564,12000.0,0.0,12000.0,2019-11-20,0,,"Jawa Tengah, Yogyakarta"
1617.0,26.0,3439.0,96996,3006000.0,0.0,3006000.0,2020-05-29,0,,"Sulawesi, Maluku, Papua"
1942.0,28.0,6765.0,87529,65000.0,6500.0,58500.0,2019-12-27,0,,"Sulawesi, Maluku, Papua"
1951.0,65.0,2318.0,45334,1417000.0,185000.0,1232000.0,2020-04-01,0,,"Banten, Jawa Barat"
2039.0,50.0,6949.0,78708,4734000.0,0.0,4734000.0,2020-04-13,0,,"Bengkulu, Jambi, Bangka Belitung, Sumatra Selatan, Lampung"
2048.0,26.0,17413.0,66880,4507000.0,0.0,4507000.0,2019-10-16,0,,"Bengkulu, Jambi, Bangka Belitung, Sumatra Selatan, Lampung"
2180.0,56.0,5250.0,75534,1824000.0,273600.0,1550400.0,2020-04-21,0,,"Aceh, Sumatra Utara, Sumatra Barat, Riau, Kepulauan Riau"
2201.0,54.0,9568.0,5857,1418000.0,0.0,1418000.0,2020-03-21,0,,"Bengkulu, Jambi, Bangka Belitung, Sumatra Selatan, Lampung"
2212.0,23.0,12295.0,47436,924000.0,138600.0,785400.0,2019-11-04,0,,"Bengkulu, Jambi, Bangka Belitung, Sumatra Selatan, Lampung"
2250.0,27.0,8835.0,52861,4004000.0,0.0,4004000.0,2020-05-31,0,,"Banten, Jawa Barat"
2384.0,54.0,7369.0,26541,1012000.0,0.0,1012000.0,2019-12-12,0,,"Sulawesi, Maluku, Papua"
2520.0,49.0,15955.0,17549,1898000.0,0.0,1898000.0,2020-03-27,0,,Kalimantan
2609.0,17.0,4351.0,72467,322000.0,0.0,322000.0,2019-05-19,0,,"Sulawesi, Maluku, Papua"
2783.0,62.0,9429.0,25643,144000.0,0.0,144000.0,2019-11-12,0,,"Sulawesi, Maluku, Papua"
